iter	RMSE
234	8.427359068
235	8.420444925
236	8.413964604
237	8.409912117
238	8.400075086
239	8.391234486
240	8.38439472
241	8.374494242
242	8.367831644
243	8.363406882
244	8.358767841
245	8.351598909
246	8.341960073
247	8.33248164
248	8.324306707
249	8.315272461
250	8.310694626
251	8.304887202
252	8.299987101
253	8.290724499
254	8.282219621
255	8.27353667
256	8.270440111
257	8.262502154
258	8.255871621
259	8.251207588
260	8.240044379
261	8.231341147
262	8.219287828
263	8.208184108
264	8.203772078
265	8.191993746
266	8.18301466
267	8.177640247
268	8.1716225
269	8.164335457
270	8.160145944
271	8.153220973
272	8.148606386
273	8.142856829
274	8.134787989
275	8.124319278
276	8.11712047
277	8.114980354
278	8.104751238
279	8.097158147
280	8.092438474
281	8.085112677
282	8.082521578
283	8.076651569
284	8.074532157
285	8.068835989
286	8.061408818
287	8.056223082
288	8.051015305
289	8.043699072
290	8.03996259
291	8.027226742
292	8.021164422
293	8.014657746
294	8.0039793
295	7.993334379
296	7.985644838
297	7.978451716
298	7.97416846
299	7.965232199
300	7.957706863
301	7.951074192
302	7.947088431
303	7.938033247
304	7.92598776
305	7.921009876
306	7.913849728
307	7.902223981
308	7.895307226
309	7.884631463
310	7.874463702
311	7.867414811
312	7.864195609
313	7.855750468
314	7.848907113
315	7.84235155
316	7.831158861
317	7.824458882
318	7.821842925
319	7.814408926
320	7.811947587
321	7.80770266
322	7.801731332
323	7.799090487
324	7.792552205
325	7.788405903
326	7.780450531
327	7.773088753
328	7.762307095
329	7.755836519
330	7.751216634
331	7.744573029
332	7.738215945
333	7.733065545
334	7.724237462
335	7.715369287
336	7.711932567
337	7.704392664
338	7.693419782
339	7.688107914
340	7.679969567
341	7.673127122
342	7.66485866
343	7.660017707
344	7.654505907
345	7.646377929
346	7.639003456
347	7.634883712
348	7.625862493
349	7.622216859
350	7.610459211
351	7.602222332
352	7.592991548
353	7.586093758
354	7.577179343
355	7.567621003
356	7.561992733
357	7.556547935
358	7.551689152
359	7.547802646
360	7.540477345
361	7.535102682
362	7.526204285
363	7.522625272
364	7.51439522
365	7.505170665
366	7.50027567
367	7.496305823
368	7.485669648
369	7.482385671
370	7.475672866
371	7.470396763
372	7.464689595
373	7.456672269
374	7.448475293
375	7.438295195
376	7.433559579
377	7.428375173
378	7.424837406
379	7.414901458
380	7.404929602
381	7.39779872
382	7.38856646
383	7.377709825
384	7.375601283
385	7.363746741
386	7.358349408
387	7.35448581
388	7.345476202
389	7.339499923
390	7.333942864
391	7.331758676
392	7.321237868
393	7.315152394
394	7.308527603
395	7.301061825
396	7.294973547
397	7.286200584
398	7.277196216
399	7.269542159
400	7.264646613
401	7.259368702
402	7.255591834
403	7.250996819
404	7.248355853
405	7.243875182
406	7.238743221
407	7.23275151
408	7.225028362
409	7.217219143
410	7.212192874
411	7.206697878
412	7.200479678
413	7.190833158
414	7.179724215
415	7.170843603
416	7.167444273
417	7.159975741
418	7.157473443
419	7.152932703
420	7.148290852
421	7.137958303
422	7.134366778
423	7.127079998
424	7.124846443
425	7.119808885
426	7.117729545
427	7.11664635
428	7.10839451
429	7.103474564
430	7.091903709
431	7.086838329
432	7.080114261
433	7.076767552
434	7.070180726
435	7.063464073
436	7.05589026
437	7.051752781
438	7.043651832
439	7.039203198
440	7.034911779
441	7.026989603
442	7.022455609
443	7.016289365
444	7.009507989
445	7.001484972
446	6.996029021
447	6.989080969
448	6.983882043
449	6.978938664
450	6.969968013
451	6.960599651
452	6.952329289
453	6.948728527
454	6.942616088
455	6.931468439
456	6.924314435
457	6.916429593
458	6.910110417
459	6.902452371
460	6.897721579
461	6.891155309
462	6.887199687
463	6.879415658
464	6.871886743
465	6.866589356
466	6.862034322
467	6.855734975
468	6.84921053
469	6.844621945
470	6.840010661
471	6.832999801
472	6.826694381
473	6.818905937
474	6.80853471
475	6.803864762
476	6.796131123
477	6.79323611
478	6.787682438
479	6.782960702
480	6.778275302
481	6.771747941
482	6.768395087
483	6.766241815
484	6.757148678
485	6.750305992
486	6.744984044
487	6.73652091
488	6.73256771
489	6.729527798
490	6.720189282
491	6.713487805
492	6.710148468
493	6.702901368
494	6.696767312
495	6.69281212
496	6.688742752
497	6.68504767
498	6.679283145
499	6.674064727
500	6.671436311
501	6.665952309
502	6.657695678
503	6.655410964
504	6.653557341
505	6.645745444
506	6.639894316
507	6.636512545
508	6.624624072
509	6.620112829
510	6.6142762
511	6.60571723
512	6.600051275
513	6.597066006
514	6.590421028
515	6.584881817
516	6.578574149
517	6.572803307
518	6.568411268
519	6.563765018
520	6.561073725
521	6.555193888
522	6.546487128
523	6.540860182
524	6.537404163
525	6.527269694
526	6.522119148
527	6.519093315
528	6.512576471
529	6.509520918
530	6.505257149
531	6.501167419
532	6.494054529
533	6.488064839
534	6.484762845
535	6.476541282
536	6.47203169
537	6.471374207
538	6.46583837
539	6.460376119
540	6.455493927
541	6.450807945
542	6.446527274
543	6.444631119
544	6.441114168
545	6.434920004
546	6.427826401
547	6.424479525
548	6.418696563
549	6.411728249
550	6.410113851
551	6.402938826
552	6.398986235
553	6.393950892
554	6.387636664
555	6.384036358
556	6.379696774
557	6.370878103
558	6.36668782
559	6.358541006
560	6.35101238
561	6.343229827
562	6.338697164
563	6.334888837
564	6.332059713
565	6.327544662
566	6.320063268
567	6.312949235
568	6.306314319
569	6.304170338
570	6.299585168
571	6.294788361
572	6.290789446
573	6.287070312
574	6.279520487
575	6.275171999
576	6.271425223
577	6.26795806
578	6.260840161
579	6.258080971
580	6.253853587
581	6.250478816
582	6.245165023
583	6.237900245
584	6.235422873
585	6.231435559
586	6.226432081
587	6.220798557
588	6.216421232
589	6.212240852
590	6.208316884
591	6.199248754
592	6.193859096
593	6.189538176
594	6.18662456
595	6.179621858
596	6.175132546
597	6.171160293
598	6.166389876
599	6.160926827
600	6.158688881
601	6.152653062
602	6.143357736
603	6.136661028
604	6.132738722
605	6.126634891
606	6.118453392
607	6.112032669
608	6.107485872
609	6.103805816
610	6.101076687
611	6.098924091
612	6.094480749
613	6.090726938
614	6.086553458
615	6.081190277
616	6.077554789
617	6.071414732
618	6.069057696
619	6.064914103
620	6.061439182
621	6.058720082
622	6.052111059
623	6.045659972
624	6.04046739
625	6.036433736
626	6.02801205
627	6.024437501
628	6.020778482
629	6.019614409
630	6.016742307
631	6.009002558
632	6.004723443
633	5.995958253
634	5.99418543
635	5.989889867
636	5.983922383
637	5.973837031
638	5.971519189
639	5.968754047
640	5.967026364
641	5.962911402
642	5.962110857
643	5.955750925
644	5.94834881
645	5.946692746
646	5.942346109
647	5.938636494
648	5.929942887
649	5.924783231
650	5.916776564
651	5.911986185
652	5.906178666
653	5.900152273
654	5.895145354
655	5.890967265
656	5.881881516
657	5.874908835
658	5.872757426
659	5.870549984
660	5.867169123
661	5.860795225
662	5.85707358
663	5.852964949
664	5.85088155
665	5.848264105
666	5.844660335
667	5.840028314
668	5.838122431
669	5.831693626
670	5.827147224
671	5.823657246
672	5.818494962
673	5.811600982
674	5.806825226
675	5.800139069
676	5.793719682
677	5.786137507
678	5.780348872
679	5.775982036
680	5.768452049
681	5.763580307
682	5.757724287
683	5.751539645
684	5.747756299
685	5.739207971
686	5.733299645
687	5.726235678
688	5.72228947
689	5.716227446
690	5.712154968
691	5.707694738
692	5.70626555
693	5.698049873
694	5.693669132
695	5.692113127
696	5.689182837
697	5.685014667
698	5.678583959
699	5.674734328
700	5.670509845
701	5.667519741
702	5.660513089
703	5.654680363
704	5.650277533
705	5.646019254
706	5.641423566
707	5.635155903
708	5.629994568
709	5.625793093
710	5.618552225
711	5.614041083
712	5.609711728
713	5.606352544
714	5.600367765
715	5.593625777
716	5.590412467
717	5.584559157
718	5.578904487
719	5.573016239
720	5.569910507
721	5.566809039
722	5.561641296
723	5.559524564
724	5.556696397
725	5.553388152
726	5.550181532
727	5.547018975
728	5.541444354
729	5.534675217
730	5.531463694
731	5.52632196
732	5.519945399
733	5.515348802
734	5.510673717
735	5.505125978
736	5.496504198
737	5.491386794
738	5.490071172
739	5.480697947
740	5.477591297
741	5.474295844
742	5.472020538
743	5.464170975
744	5.459458009
745	5.456237457
746	5.450825224
747	5.447901491
748	5.443280544
749	5.439074568
750	5.43590499
751	5.430454096
752	5.426341252
753	5.421800209
754	5.419285854
755	5.413741239
756	5.408970628
757	5.406069881
758	5.403094619
759	5.399333749
760	5.396021209
761	5.39040262
762	5.388058675
763	5.385867315
764	5.382382261
765	5.375894723
766	5.371728061
767	5.370009296
768	5.365956683
769	5.359713305
770	5.355047381
771	5.351236656
772	5.348222036
773	5.344003446
774	5.341241044
775	5.337752313
776	5.326300626
777	5.321290635
778	5.317398345
779	5.311186658
780	5.308847464
781	5.306285035
782	5.302413575
783	5.298834401
784	5.295947583
785	5.29225646
786	5.291500913
787	5.288236335
788	5.282356916
789	5.277453065
790	5.273045899
791	5.267138563
792	5.261951869
793	5.258175095
794	5.25448011
795	5.249953869
796	5.245831263
797	5.243532434
798	5.240911283
799	5.233020285
800	5.228091937
801	5.225689977
802	5.221982123
803	5.218831107
804	5.214595712
805	5.209586822
806	5.204140037
807	5.2008823
808	5.196443723
809	5.193577557
810	5.190976741
811	5.186640549
812	5.182377478
813	5.1768116
814	5.171526127
815	5.165313317
816	5.160717731
817	5.155381601
818	5.151197295
819	5.146703466
820	5.142819089
821	5.13783931
822	5.132978266
823	5.12709317
824	5.124475648
825	5.116435699
826	5.114152636
827	5.108688527
828	5.105752439
829	5.10440645
830	5.102073531
831	5.098357696
832	5.096069386
833	5.094021568
834	5.090244427
835	5.087373152
836	5.083000447
837	5.080075013
838	5.074760508
839	5.070742038
840	5.064793733
841	5.061896093
842	5.059325194
843	5.056489238
844	5.05460711
845	5.052335715
846	5.051151372
847	5.04610347
848	5.042612609
849	5.035931899
850	5.030092646
851	5.025306535
852	5.020972577
853	5.015864839
854	5.013850066
855	5.009762616
856	5.004314014
857	5.000495
858	4.995049033
859	4.990878229
860	4.986074601
861	4.980981313
862	4.977969473
863	4.977226136
864	4.974136926
865	4.973406328
866	4.970404321
867	4.965910654
868	4.963452883
869	4.959172994
870	4.955796329
871	4.951800014
872	4.950589787
873	4.947091385
874	4.943858578
875	4.941217689
876	4.937858188
877	4.931360155
878	4.92966849
879	4.926913714
880	4.924393531
881	4.921866483
882	4.916536859
883	4.913643899
884	4.912006871
885	4.907654392
886	4.902990772
887	4.900007103
888	4.897017022
889	4.895211856
890	4.891278158
891	4.888878102
892	4.883450148
893	4.879861083
894	4.874919227
895	4.869914315
896	4.866709168
897	4.86357276
898	4.85882548
899	4.855901835
900	4.850647399
901	4.84856406
902	4.845971974
903	4.84454389
904	4.842866718
905	4.838490247
906	4.835381402
907	4.832849427
908	4.829806688
909	4.825225974
910	4.82190821
911	4.819082024
912	4.816429275
913	4.812992634
914	4.80974574
915	4.804205786
916	4.797324382
917	4.794200611
918	4.790471301
919	4.787768966
920	4.785102591
921	4.781666974
922	4.777005146
923	4.773474652
924	4.767411023
925	4.762580016
926	4.759336415
927	4.755572861
928	4.754122337
929	4.750811559
930	4.746846682
931	4.740232943
932	4.736687854
933	4.732621324
934	4.729847764
935	4.727716906
936	4.725291773
937	4.722649915
938	4.718540989
939	4.712803874
940	4.710294648
941	4.708485668
942	4.705811195
943	4.704894144
944	4.70191649
945	4.697940051
946	4.695823854
947	4.692149168
948	4.690152408
949	4.68770374
950	4.684994556
951	4.680127188
952	4.676005245
953	4.673886635
954	4.673373306
955	4.669591962
956	4.665410064
957	4.663300465
958	4.659179492
959	4.657423587
960	4.652525453
961	4.648819369
962	4.645461828
963	4.645079758
964	4.642758666
965	4.639589827
966	4.638008262
967	4.632620154
968	4.629192708
969	4.624244523
970	4.621650013
971	4.62110515
972	4.61650562
973	4.614096767
974	4.610365426
975	4.607081652
976	4.603238084
977	4.601190965
978	4.597879856
979	4.593637681
980	4.589515103
981	4.585329571
982	4.58342285
983	4.578723067
984	4.577262125
985	4.575346297
986	4.5751478
987	4.574627649
988	4.571130094
989	4.567409434
990	4.565042782
991	4.564779772
992	4.559748428
993	4.555579058
994	4.550869195
995	4.550184897
996	4.549734689
997	4.544885514
998	4.540429657
999	4.53684779
